tweet_id,tweet_created_at_ts,user_screen_name,user_location,tweet_place_name,tweet_place_country_code,tweet_text
992336456751505408,1525426422,MCIDublin,Dublin,Dun Laoghaire-Rathdown,IE,"The team building at the #emeasalesconference went smoothly last night👌600 attendees were divided into 60 teams and were given IPads for a treasure hunt around #Prague 
We took over the city😅😎
#eventprofs #wecreateexperiences https://t.co/kWba4RtR7k"
992333994690797569,1525425835,DolDeBie,IRL #outdoorsligo #wildsligo,Sligo,IE,"This was our week @outdoorsligo! 
This is #Sligo &amp; #Roscommon!
#Hazelwood #TheCelticChieftain #DunmoranStrand #BlueBellWood 
@LOOKWESTie @roscommonie @Indo_Travel_ @TourismIreland @wildatlanticway https://t.co/nsjU5V5W1j"
992337069094600704,1525426568,Cal_Irish_Beast,"Cork, Ireland",Cork,IE,@TheeHappyDalek @Hustler2754 @BrockLesnar @SamoaJoe How on earth does @SamoaJoe suck.He cuts amazing promos and amazing matches.Have you watched him in Nxt?He’s doing everything right in the main roster.If he sucks why does he get a massive pop every night
992337178146549760,1525426594,trekaddict,west of Ireland,Mayo,IE,@TheKateMulgrew next time you’re in Westport give me a shout I’d love to have a cuppa with you
992337232697659392,1525426607,OMGitsagirl2015,Ireland,Laois,IE,@JessHelicopter @PlutoniumSox @Pickinguptoys @HooksandDragons @moderndadpages @DaddyPoppinsBlg @CuddleFairy @Mamazouu @mama_tude @TheStentedPapa @EChanagasubbay @islandliving365 @nottinghilldady @loveofacaptain @dadvworld I must be tele-pathetic 😂😂😂
992329066362613763,1525424660,PriceChanges,Ireland,Fingal,IE,"⇩ 4.17% €239K ⇨ €229K https://t.co/wP4r37oW8t 11 Allendale Elms, Clonsilla,   Dublin 15 #dublin #clonsilla"
992341087225368576,1525427526,shellakeypookey,"Wexford, Ireland",Wexford,IE,#maythe4thbewithyou https://t.co/cBxJIBRhXt
992341963834830848,1525427735,vidabailey2,Ireland,Dublin City,IE,@19syllables @JacksInkyArm I read it as less rappers! Arg! https://t.co/wup7LLHXG0
992330865740050432,1525425089,barryak74,"Waterford, Ireland",Waterford,IE,#ootd #ootdmen#ootdfashion #mensfashion#dappergent #dapper #style… https://t.co/Pn50lS93cV
992339388569964544,1525427121,shellakeypookey,"Wexford, Ireland",Wexford,IE,#MissingCat https://t.co/AQqxfBKSXm
992334263092678656,1525425899,diarmaidm,Dublin,Dublin City,IE,@AodhanORiordain @labour This is a massive problem across the country. Never seen anything like it in elections or referendums in the past. This is a tough campaign.
992339262740881408,1525427091,SPINSouthWest,Ireland,Limerick,IE,Thanks to @LimerickCouncil @RiverfestLmk for our @funkydonutandco treats! 💗🍩 https://t.co/z8z4bAQnna
992332828653256704,1525425557,gym_trition,"Dublin City, Ireland",Dublin City,IE,Back in the mix @gym_trition @PHILSUCKOJNR @ Gym Trition https://t.co/WPIJlSEEuW
992332438570446848,1525425464,billokeeffe,"Kilkenny, Ireland.",Kilkenny,IE,@antoslats @aidan_bren @farmersjournal Always admired the kiwis that sold up in the North Island and moved to bigger units down south. And wondered who was better off long-term. The neighbour that bought them out or the lad that moved...or the banks. 🤔
992415611639816192,1525445294,GalwayLeahy,"Galway, Ireland",Cork,IE,@HSELive @inmo @burntoutRGN @cathcorbett @JamesGeoghegan9 @CatherineRotteM https://t.co/uC33g3MYN2
992407617287880709,1525443388,Irish_Physio,Galway,Galway,IE,Brilliant ❤️ https://t.co/NUGhuwa7fF
992412117771935744,1525444461,mighty_jar,"Dublin City, Ireland",Kildare,IE,"@meadowgroove @SeanMoncrieff @ivancorless @conorleeson @crinklecutchips @huskybill2611 Men in Black Latex
(leaves room)"
992409223702163457,1525443771,iseult,dublin,Dublin City,IE,@YourGayGuru Cleopatra giving it up for her public:) https://t.co/2bQpvNbJSp
992414680483291136,1525445072,itsdee_again,Ireland,Meath,IE,Guys don’t try kill urself for a retweet .
992415997494812672,1525445386,StKevinsLouth,"Philipstown, Co.Louth",Louth,IE,"McArdle Cup medals held by any player in Louth. 

We would like to thank Johnny and Kathleen for their hospitality and all the years of dedication not only to the club but also to the wider community. 

#stkevinsabu #louthgaa"
992613926738284544,1525492576,rhiiannxn,"Dublin City, Ireland",South Dublin,IE,@gothchenle YOU ARE STUNNING
992606221784858625,1525490739,ShaneOMahony10,Ireland,Dublin City,IE,"*extreme LCD Soundsystem voice

Baseball I love you, but you're killing my sleep"
992381293836099584,1525437112,cianocosgrave,"Dublin City, Ireland",Fingal,IE,#MayTheFourthBeWithYou
992383210624569344,1525437569,badgyalcici2,"Cork, Ireland",Cork,IE,Me when I walk out of the last exam of my law degree next week: https://t.co/Z95rUZDh6S
992378831796305921,1525436525,itsantoinetteg,"Paris, France",Dublin,IE,Directrice marketing https://t.co/7Ui2GAVwoY
992387342030856192,1525438554,CreativeJenGoff,"Dublin, Ireland",Dublin City,IE,"Buildings that move! Dancing House (or Fred and Ginger) by Frank Gehry, Prague, Czech Republic, 1996 #designthinking #modernarchitecture https://t.co/TyBgpmKY5l"
992375572822032385,1525435748,Pairsonnalites,America | United Kindom,Dublin City,IE,"Stigmabase —  The government is massively underprepared for the 'impossible challenge' of Brexit, according to a ... https://t.co/RUdK168VdN https://t.co/1wr13pginB"
992375736379105280,1525435787,Squarzelfitz,"Cork, Ireland",Cork,IE,@LauraLoomer @Twitter Good luck with that! Twitter hates conservatives
992384615737450496,1525437904,DKDarrenKelly,Ireland,Carlow,IE,@ThisIs_Progress I'll be sure to pack my gear
992375878989631488,1525435821,reggordon,Galway,Galway,IE,Zealotry is alive and well. #sherlockisacockwomble https://t.co/JSQeFs5w8A
992379582551613441,1525436704,NewToMyHome,Ireland,Fingal,IE,"52 Glen Eagle House, The Oaks, Ridgewood, S.. ⇨ €230,000 | 2 Bed Apartment  For Sale | https://t.co/QKxLuPxwgB | #dublin #swords"
992373542762237953,1525435264,AnthonyICHH,Dublin,Dublin City,IE,"We require volunteer bucket collectors in the city center area this Saturday &amp; Sunday. If you can give some time to support us in raising funds then get in touch today !

Contact Ann/Pauline - 018881804

#Fundraise https://t.co/XDPsRMoQ9Q"
992370296370933762,1525434490,TrendsDublin,"Dublin, Ireland",Dublin City,IE,"#timetotalk is now trending in #Dublin

https://t.co/DeP1aQ5Q8g https://t.co/qwQ6hmSqHk"
992367096121049088,1525433727,tmj_dub_eng,"Dublin, Ireland",Dublin City,IE,"Can you recommend anyone for this #job in #Dublin, County Dublin? https://t.co/nQX4ySmtIy #Engineering #Hiring #CareerArc"
992363979774152704,1525432984,tmj_dub_transp,"Dublin, Ireland",Dublin City,IE,"This #job might be a great fit for you: General Warehouse Operative - Hub - https://t.co/AuJhmrxeLg #Transportation #Finglas, County Dublin #Hiring #CareerArc"
992363291900080128,1525432820,lilycogan,"South Dublin, Ireland",Dublin City,IE,“It is impossible to imagine modern medicine without decision-support tools. But part of the process of becoming a clinician lies in learning to see beyond the rules when the situation requires it” 😊https://t.co/a7wBBOChAD
992368807401451526,1525434135,flowepower66,Ireland,Fingal,IE,"@Rosemary_Murphy @AoifeMullally Yes it is interesting Rosemary, good discussion leads to understanding and bridges the gap between seemingly polarised opinions. I'm afraid price tag was too much for me to attend maybe @LTTMedicoLegal might look at that next time #MidwivesWages"
992368954206314496,1525434170,banbhatc,,Dublin City,IE,"Hard at work.

https://t.co/yWf4cCbndJ https://t.co/biVqvbwCNH"
992358883690713088,1525431769,MapAlerter,Ireland,Cork,IE,"🚦🚦 #CORK: Road works will be carried out on Main St, Innishannon from 7pm Wed 09.05.18 to 8am Sat 12.05.18. Traffic management will be in operation #RoadAlert  https://t.co/dU0CPNbP2a via @corkcoco"
992372330612617216,1525434975,uguilfoyle,"Sligo, Ireland",Fingal,IE,"@S1d_Tr0tter brilliant, https://t.co/eDEL07iDIl"
